CIK,Reporting Type,Reporting Year,Counterparty,Notional Amount,Reference Entity/Obligation,Expiration Date,Appreciation/Depreciation,Upfront Payments Paid/Received,Buy/Sell Protection,Description,Fixed Rate,Spread,25% Recovery Rate,50% Recovery Rate,75% Recovery Rate
772129,N-CSRS,7, Deutsche Bank AG,5000000,NaN, 10/25/2010,NaN,4.6,Sell ,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, JP Morgan Chase Bank,10000000,NaN, 12/20/2010,NaN,3.57,NaN,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, JP Morgan Chase Bank,5000000,NaN, 12/20/2010,NaN,3.43,NaN,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Deutsche Bank AG,5000000,NaN, 1/25/2011,NaN,4.63,NaN,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, JP Morgan,500000000,NaN, 11/20/2008,NaN,0.75,NaN,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, DeutscheBank AG,9000000,NaN, 11/20/2008,NaN,4.77,SELL  ,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Deutsche ,14000000,NaN, 12/20/2008Bank AG,NaN,0.79,SELL  ,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, JP Morgan Chase Bank,5000000,NaN, 3/20/2009,NaN,2.85,BUY  ,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, JP Morgan Chase Bank,10000000,NaN, 3/20/2009,NaN,4.3,BUY  ,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, JP Morgan Chase Bank,20000000,NaN, 4/20/2009,NaN,0.43,NaN,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Deutsche Bank AG,9531789,NaN, 6/6/2009,NaN,1.85,NaN,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Deutsche Bank AG,815999515,NaN, 6/30/2009,NaN,2.5,NaN,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Deutsche Bank AG,7000000,NaN, 8/5/2009,NaN,4.85,NaN,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Morgan Stanley,100000000,NaN, 9/20/2009,NaN,0.78,Sell,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Deutsche Bank AG,849572575,NaN, 11/5/2009,NaN,1.45,Sell,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, JP Morgan Chase Bank,10000000,NaN, 11/20/2009,NaN,0.9,NaN,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, JP Morgan Chase Bank,10000000,NaN, 11/20/2009,NaN,0.88,NaN,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Deutsche Bank AG,25000000,NaN, 12/29/2009,NaN,2.25,Buy,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Deutsche Bank AG,7000000,NaN, 2/5/2010,NaN,4.85,Buy,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Deutsche Bank AG,12000000,NaN, 3/5/2010,NaN,9.1,Sell,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Morgan Stanley,18000000,NaN, 3/20/2010,NaN,0.75,Sell,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Deutsche ,7000000,NaN, 2/7/2011,NaN,4.95,NaN,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Morgan Stanley,5000000,NaN, 2/20/2011,NaN,2.8,NaN,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Deutsche Bank AG,3000000,NaN, 2/25/2011,NaN,3.5,NaN,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Citigroup,8000000,NaN, 3/20/2011,NaN,3.7,NaN,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, UBS AG,8000000,NaN, 3/20/2011,NaN,3.55,Buy,NaN,NaN,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Deutsche Bank AG,5000000,NaN, 4/26/2011,NaN,4.66,Buy,NaN,NaN,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Deutsche Bank AG,10000000,NaN, 6/20/2011,NaN,1.89,Buy,NaN,NaN,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Deutsche Bank AG,34000000,NaN, 6/20/2011,NaN,1.35,Buy,NaN,NaN,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, JP Morgan Chase Bank,11000000,NaN, 6/20/2011,NaN,1.35,Buy,NaN,NaN,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Lehman Brothers,5000000,NaN, 6/20/2011,NaN,1.35,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Lehman Brothers,20000000,NaN, 6/20/2011,NaN,1.35,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Lehman Brothers,10000000,NaN, 6/20/2011,NaN,1.35,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Lehman Brothers,11000000,NaN, 6/20/2011,NaN,1.35,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Deutsche Bank AG,150000000,NaN, 6/20/2011,NaN,1.86,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, UBS AG,9000000,NaN, 7/17/2011,NaN,5.05,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Deutsche Bank AG,5000000,NaN, 7/25/2011,NaN,4.68,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Deutsche Bank AG,7000000,NaN, 8/5/2011,NaN,5,NaN,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Deutsche Bank AG,20000000,NaN, 8/20/2011,NaN,0.57,NaN,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, 8/20/2011,620000000,NaN, MXN ,NaN, Receive,NaN,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Barclays ,11500000,NaN, 3/20/2013,NaN,0.61,NaN,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, JP Morgan ,8000000,NaN, 8/20/2017,NaN,2.2,NaN,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, JP Morgan Chase Bank,17000000,NaN, 9/20/2017,NaN,1.74,NaN,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, JP Morgan Chase Bank,30000000,NaN, 9/20/2017,NaN,1.77,NaN,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, JP Morgan Chase Bank,10000000,NaN, 10/7/2017,NaN,4.2,NaN,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, JP Morgan Chase Bank,20000000,NaN, 3/20/2019,NaN,1.9,NaN,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Goldman Sachs,30000000,NaN, 8/15/2031,NaN,1.84,NaN,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Goldman Sachs,20000000,NaN, 8/15/2031,NaN,1.89,NaN,NaN,3,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, JP Morgan ,10000000,NaN, 4/20/2015,NaN,4.65,NaN,NaN,3,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Deutsche Bank AG,15000000,NaN, 5/20/2015,NaN,3.85,NaN,NaN,3,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Citigroup,56950000000,NaN, 11/20/2015,NaN,1.81,NaN,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Citigroup,15000000,NaN, 2/20/2016,NaN,2.16,NaN,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Citigroup,56700000000,NaN, 2/20/2016,NaN,1.46,NaN,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Citigroup,25000000,NaN, 4/20/2016,NaN,1.9,NaN,NaN,3,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Citigroup,114800000000,NaN, 4/20/2016,NaN,1.33,NaN,NaN,3,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, JP Morgan ,22000000,NaN, 8/20/2016,NaN,1.99,NaN,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Lehman Brothers,40000000,NaN, 8/20/2016,NaN,1.98,NaN,NaN,3,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Citigroup,20000000,NaN, 8/20/2016,NaN,2.15,NaN,NaN,3,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Citigroup,97680000000,NaN, 8/20/2016,NaN,1.51,NaN,NaN,3,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Deutsche Bank AG,20000000,NaN, 8/20/2016,NaN,0.87,NaN,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Deutsche ,620000000,NaN, 8/20/2016,NaN,0.61,Buy,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Deutsche Bank AG,87500000,NaN, 2/20/2017,NaN,2.43,NaN,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Deutsche Bank AG,350000000,NaN, 2/20/2017,NaN,7.66,Buy,NaN,3,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Lehman Brothers,50000000,NaN, 3/20/2017,NaN,1.41,NaN,NaN,3,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Deutsche Bank AG,2500000,NaN, 5/20/2017,NaN,1.05,NaN,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Deutsche Bank AG,32000000,NaN, 5/20/2017,NaN,0.79,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Lehman Brothers,70000000,NaN, 7/20/2017,NaN,3.15,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Bear Stearns,4500000,NaN, 7/20/2017,NaN,3.3,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Lehman Brothers,15000000,NaN, 7/20/2017,NaN,1.04,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Lehman Brothers,70000000,NaN, 7/20/2017,NaN,2.2,NaN,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Lehman Brothers,35000000,NaN, 7/20/2017,NaN,2.26,NaN,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, UBS AG,35000000,NaN, 7/20/2017,NaN,2.26,NaN,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, JP Morgan ,15000000,NaN, 9/27/2007,NaN,0.33,NaN,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, JP Morgan Chase Bank,10000000,NaN, 10/10/2007,NaN,0.7,Buy,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, DeutscheBank AG,8000000,NaN, 10/19/2007,NaN,15,Buy,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, JP Morgan Chase Bank,5000000,NaN, 10/22/2007,NaN,0.54,Buy,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, JP MorganChase Bank,5000000,NaN, 10/23/2007,NaN,0.48,Buy,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, DeutscheBank AG,5000000,NaN, 10/30/2007,NaN,0.44,Buy,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, DeutscheBank AG,10000000,NaN, 11/23/2007,NaN,1.15,Buy,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, JP MorganChase Bank,15000000,NaN, 11/27/2007,NaN,1.1,Buy,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, DeutscheBank AG,30000000,NaN, 12/23/2007,NaN,2.35,NaN,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, JP MorganChase Bank,15000000,NaN, 2/20/2008,NaN,1.7,NaN,NaN,(.25,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, JP MorganChase Bank,6500000,NaN, 3/20/2008,NaN,0.44,NaN,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, JP MorganChase Bank,100000000,NaN, 4/20/2008,NaN,0.32,NaN,NaN,(.25,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, DeutscheBank AG,50000000,NaN, 5/4/2008,NaN,1.8,NaN,NaN,(1.00,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, JP MorganChase Bank,5000000,NaN, 5/30/2008,NaN,8.65,NaN,NaN,(.25,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, UBS AG,2000000,NaN, 9/20/2008,NaN,9.2,NaN,NaN,1,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Morgan Stanley,10000000,NaN, 9/20/2008,NaN,5.15,NaN,NaN,(.25,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, DeutscheBank AG,18000000,NaN, 11/20/2008,NaN,1.5,NaN,NaN,(1.00,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Morgan Stanley ,60000000,NaN, 9/20/2010,NaN,0.4,NaN,NaN,(1.00,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Morgan Stanley Capital Services Inc.,31000000,NaN, 3/20/2013,NaN,0.25,NaN,NaN,(1.00,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Lehman Brothers ,28000000,NaN, 3/20/2015,NaN,0.88,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, UBS AG,2000000,NaN, 6/20/2011,NaN,0.32,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7," Bank of America, N.A.",3000000,NaN, 6/20/2011,NaN,0.14,NaN,NaN,1.00%,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Citigroup,5000000,NaN, 6/20/2011,NaN,0.37,NaN,NaN,1.00%,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, UBS AG,2000000,NaN, 6/20/2011,NaN,0.26,NaN,NaN,1.00%,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Barclays Bank PLC,4000000,NaN, 6/20/2011,NaN,0.2,NaN,NaN,1.00%,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Barclays Bank PLC,2000000,NaN, 6/20/2011,NaN,0.3,NaN,NaN,3.35,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Citigroup,5000000,NaN, 6/20/2011,NaN,0.49,Buy,NaN,3.65,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Barclays Bank PLC,3000000,NaN, 6/20/2011,NaN,0.08,Buy,NaN,3.42,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Barclays Bank PLC,2000000,NaN, 12/20/2011,NaN,0.04,Buy,NaN,5.4,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Barclays Bank PLC,2000000,NaN, 12/20/2011,NaN,0.11,Sell,NaN,5.75,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Barclays Bank PLC,5000000,NaN, 3/20/2013,NaN,0.25,Buy,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, UBS AG,2000000,NaN, 12/20/2013,NaN,0.34,NaN,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Lehman Brothers,3000000,NaN, 12/20/2013,NaN,0.25,NaN,NaN,3.75,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Barclays Bank PLC,2000000,NaN, 12/20/2013,NaN,0.25,NaN,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, JP Morgan Chase Bank,9920000,NaN, 3/20/2015,NaN,0.7,NaN,NaN,3,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, JP Morgan Chase Bank,25000000,NaN, 6/20/2015,NaN,0.65,NaN,NaN,3.45,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Lehman Brothers,5000000,NaN, 6/20/2015,NaN,0.65,NaN,NaN,4.15,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, UBS AG,1000000,NaN, 12/20/2016,NaN,0.15,NaN,NaN,3.25,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, UBS AG,1000000,NaN, 12/20/2016,NaN,0.12,NaN,NaN,2.25,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7," Bank of America, N.A.",1000000,NaN, 12/20/2016,NaN,0.17,NaN,NaN,3.5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7," Bank of America, N.A.",1000000,NaN, 12/20/2016,NaN,0.22,NaN,NaN,2.85,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Barclays Bank PLC,1000000,NaN, 12/20/2016,NaN,0.33,Buy,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, JP Morgan Chase Bank,73000000,NaN, 12/20/2016,NaN,0.65,Buy,NaN,3.45,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, JP Morgan ,2000000,NaN, 12/20/2016,NaN,0.65,Sell,NaN,5.8,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Lehman Brothers,10000000,NaN, 12/20/2016,NaN,0.65,Sell,NaN,NaN,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7," Bank of America, N.A.",1000000,NaN, 12/20/2016,NaN,0.33,Sell,NaN,NaN,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Goldman Sachs,5000000,NaN, 1/20/2024,NaN,1.11,Sell,NaN,NaN,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Lehman Brothers,10000000,NaN, 12/20/2008,NaN,0.27,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, JP Morgan Chase Bank,350000000,NaN, 12/20/2008,NaN,0.15,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Deutsche Bank AG,5000000,NaN, 12/20/2009,NaN,0.25,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Barclays Bank PLC,5000000,NaN, 12/20/2009,NaN,0.3,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Deutsche Bank AG,5000000,NaN, 12/20/2009,NaN,0.66,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Barclays Bank PLC,5000000,NaN, 12/20/2009,NaN,0.39,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Deutsche Bank AG,5000000,NaN, 12/20/2009,NaN,0.35,NaN,NaN,NaN,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Barclays Bank PLC,5000000,NaN, 12/20/2009,NaN,0.38,Buy,NaN,5.00% ,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Barclays Bank PLC,5000000,NaN, 6/20/2010,NaN,0.29,Sell ,NaN,4.60% ,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Lehman Brothers,5000000,NaN, 6/20/2010,NaN,0.4,Buy,NaN,5.85% ,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Lehman Brothers,5000000,NaN, 6/20/2010,NaN,0.2,Buy,NaN,5.00% ,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, UBS AG,5000000,NaN, 6/20/2010,NaN,0.52,Buy,NaN,4.60% ,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Barclays Bank PLC,5000000,NaN, 6/20/2010,NaN,0.17,Buy,NaN,5.85% ,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Barclays Bank PLC,5000000,NaN, 12/20/2010,NaN,0.2,Buy,NaN,5.35%,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Barclays Bank PLC,5000000,NaN, 12/20/2010,NaN,0.19,Buy,NaN,1.51,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Deutsche Bank AG,5000000,NaN, 12/20/2010,NaN,0.75,Buy,NaN, ,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Citigroup,5000000,NaN, 12/20/2010,NaN,0.39,Buy,NaN,5.35%,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Barclays Bank PLC,5000000,NaN, 12/20/2010,NaN,0.45,Buy,NaN,1.51,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Barclays Bank PLC,5000000,NaN, 12/20/2010,NaN,0.28,Buy,NaN, ,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, UBS AG,5000000,NaN, 12/20/2010,NaN,0.47,Buy,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Barclays Bank PLC,5000000,NaN, 3/20/2011,NaN,0.25,Buy,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Goldman Sachs,15000000,NaN, 12/15/2013,NaN,0.42,Buy,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Morgan Stanley,5000000,NaN, 3/20/2014,NaN,0.15,Buy,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Goldman Sachs,10000000,NaN, 9/30/2014,NaN,0.74,Buy,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, JP MorganChase Bank,10000000,NaN, 2/20/2015,NaN,0.61,Buy,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Goldman Sachs,5000000,NaN, 11/1/2015,NaN,0.62,Sell ,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Barclays Bank PLC,15000000,NaN, 12/20/2015,NaN,0.73,Buy,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Morgan Stanley,5000000,NaN, 12/20/2015,NaN,0.81,Buy,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Barclays Bank PLC,7000000,NaN, 9/20/2016,NaN,0.32,Buy,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Morgan Stanley,5000000,NaN, 12/20/2016,NaN,0.46,NaN,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Barclays Bank PLC,10000000,NaN, 12/20/2016,NaN,0.72,NaN,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Goldman Sachs,10000000,NaN, 2/1/2017,NaN,0.49,NaN,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Goldman Sachs,5000000,NaN, 7/15/2018,NaN,0.93,NaN,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
772129,N-CSRS,7, Goldman Sachs,10000000,NaN, 1/20/2024,NaN,1.11,NaN,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
883939,N-CSRS,11,     JPMorgan ,77000000,NaN,     12/20/16 ,"     (319,113 ","     (9,036,438 ",NaN,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
883939,N-CSRS,11,     JPMorgan ,16680000,NaN,     09/20/16 ,245383,1184577,NaN,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
883939,N-CSRS,11,     JPMorgan ,8000000,NaN,     06/20/16 ,"     (754,041 ",33578,NaN,NaN,5,NaN,#VALUE!,#VALUE!,#VALUE!
1056289,N-CSRS,6,NaN," 2,000,000 USD   ",NaN, 9/20/2008  ,8197,NaN,NaN," Agreement with Credit Suisse/First Boston dated 2/6/2004 whereby the Portfolio will receive 2.45% per year times thenotional amount. The Portfolio makes a payment only upon a default event on underlying loan assets (10 in total, eachrepresenting 10% of the notional value of the swap).",5,NaN,#VALUE!,#VALUE!,#VALUE!
1056289,N-CSRS,6,NaN," 1,000,000 USD   ",NaN, 9/20/2008  ," (4,792)",NaN,NaN," Agreement with Credit Suisse/First Boston dated 2/12/2004 whereby the Portfolio will receive 2.45% per year times the notional amount. The Portfolio makes a payment only upon a default event on underlying loan assets (10 in total, each representing 10% of the notional value of the swap).",5,NaN,#VALUE!,#VALUE!,#VALUE!
1056289,N-CSRS,6,NaN," 2,000,000 USD   ",NaN, 3/20/2011  ," (10,879)",NaN,NaN," Agreement with Lehman Brothers dated 3/2/2005 whereby the Portfolio will receive 1.85% per year times the notional amount. The Portfolio makes a payment of the notional amount only upon a default event on the reference entity, a Revolving Credit Agreement issued by Syniverse Technologies, Inc.",5,NaN,#VALUE!,#VALUE!,#VALUE!
1056289,N-CSRS,6,NaN," 3,000,000 USD   ",NaN, 3/20/2010  ,5522,NaN,NaN," Agreement with Lehman Brothers dated 3/15/2005 whereby the Portfolio will receive 2.20% per year times the notional amount. The Portfolio makes a payment of the notional amount only upon a default event on the reference entity, a Revolving Credit Agreement issued by Inergy, L.P.",5,NaN,#VALUE!,#VALUE!,#VALUE!
1056289,N-CSRS,6,NaN," 2,000,000 USD   ",NaN, 6/20/2010  ,31101,NaN,NaN," Agreement with Lehman Brothers dated 5/18/2005 whereby the Portfolio will receive 3.25% per year times the notional amount. The Portfolio makes a payment of the notional amount only upon a default event on the reference entity, a Revolving Credit Agreement issued by Rural Cellular Corp.",5,NaN,#VALUE!,#VALUE!,#VALUE!
